index,date,open,high,low,close,volume,marketcap
988,"Mar 04, 2019",3845.09,3867.38,3733.75,3761.56,9029175788.0,66094551587.0
989,"Mar 03, 2019",3862.27,3875.48,3836.91,3847.18,7253558152.0,67592376373.0
990,"Mar 02, 2019",3855.32,3874.61,3832.13,3864.42,7578786076.0,67888255371.0
991,"Mar 01, 2019",3853.76,3907.8,3851.69,3859.58,7661247975.0,67796965743.0
992,"Feb 28, 2019",3848.26,3906.06,3845.82,3854.79,8399767798.0,67704774107.0
993,"Feb 27, 2019",3857.48,3888.8,3787.06,3851.05,8301309684.0,67631949500.0
994,"Feb 26, 2019",3878.7,3891.58,3837.99,3854.36,7931218996.0,67683296223.0
995,"Feb 25, 2019",3807.0,3913.71,3807.0,3882.7,9318796067.0,68173204651.0
996,"Feb 24, 2019",4145.46,4210.64,3793.71,3810.43,10794227451.0,66897483404.0
997,"Feb 23, 2019",3998.92,4166.29,3968.73,4142.53,8922258316.0,72720867208.0
998,"Feb 22, 2019",3952.41,4006.54,3950.82,4005.53,7826525254.0,70308555857.0
999,"Feb 21, 2019",4000.26,4010.01,3940.11,3954.12,7775128102.0,69398333876.0
1000,"Feb 20, 2019",3946.68,4000.49,3926.25,3999.82,8693373948.0,70194350042.0
1001,"Feb 19, 2019",3911.66,4010.88,3908.15,3947.09,9933626655.0,69262673238.0
1002,"Feb 18, 2019",3671.37,3936.67,3669.98,3915.71,9908216640.0,68704389994.0
1003,"Feb 17, 2019",3633.36,3680.54,3619.18,3673.84,7039512503.0,64453368779.0
1004,"Feb 16, 2019",3615.27,3652.84,3615.27,3629.79,5934744052.0,63673369195.0
1005,"Feb 15, 2019",3617.37,3647.8,3608.21,3620.81,6091952231.0,63509111125.0
1006,"Feb 14, 2019",3631.17,3646.26,3607.7,3616.88,6271044418.0,63434486052.0
1007,"Feb 13, 2019",3653.6,3669.75,3617.25,3632.07,6438903823.0,63694394519.0
1008,"Feb 12, 2019",3642.75,3668.59,3618.56,3653.53,6480384532.0,64063755250.0
1009,"Feb 11, 2019",3695.61,3695.61,3642.29,3648.43,6277056434.0,63968390250.0
1010,"Feb 10, 2019",3673.2,3695.04,3640.98,3690.19,6282256903.0,64694025951.0
1011,"Feb 09, 2019",3671.59,3679.94,3646.56,3671.2,6158833645.0,64354732475.0
1012,"Feb 08, 2019",3401.38,3695.61,3391.02,3666.78,7735623101.0,64270269953.0
1013,"Feb 07, 2019",3414.93,3427.95,3394.22,3399.47,5004962683.0,59578075991.0
1014,"Feb 06, 2019",3469.09,3469.09,3398.57,3413.77,5482196038.0,59821158612.0
1015,"Feb 05, 2019",3454.95,3478.15,3451.94,3466.36,5227549545.0,60735563490.0
1016,"Feb 04, 2019",3467.21,3476.22,3442.59,3459.15,5332718886.0,60603083461.0
1017,"Feb 03, 2019",3516.14,3521.39,3447.92,3464.01,5043937584.0,60681847608.0
1018,"Feb 02, 2019",3484.63,3523.29,3467.57,3521.06,5071623601.0,61675119055.0
1019,"Feb 01, 2019",3460.55,3501.95,3431.59,3487.95,5422926707.0,61088747491.0
1020,"Jan 31, 2019",3485.41,3504.8,3447.92,3457.79,5831198271.0,60553903927.0
1021,"Jan 30, 2019",3443.9,3495.17,3429.39,3486.18,5955112627.0,61044262622.0
1022,"Jan 29, 2019",3468.87,3476.07,3400.82,3448.12,5897159493.0,60371874099.0
1023,"Jan 28, 2019",3584.28,3586.75,3439.23,3470.45,6908930483.0,60756570314.0
1024,"Jan 27, 2019",3604.69,3612.67,3567.25,3583.97,5570752966.0,62737274093.0
1025,"Jan 26, 2019",3599.72,3654.93,3593.35,3602.46,5098183235.0,63054898963.0
1026,"Jan 25, 2019",3607.39,3612.93,3575.6,3599.77,5265847539.0,63000985908.0
1027,"Jan 24, 2019",3584.5,3616.09,3569.09,3600.87,5262869046.0,63014066012.0
1028,"Jan 23, 2019",3605.56,3623.07,3565.31,3585.12,5433755649.0,62731361272.0
1029,"Jan 22, 2019",3575.08,3620.75,3539.72,3604.58,5313623556.0,63065139424.0
1030,"Jan 21, 2019",3600.37,3608.84,3558.54,3576.03,5004347059.0,62559869612.0
1031,"Jan 20, 2019",3725.45,3743.39,3583.02,3601.01,5582489560.0,62990143284.0
1032,"Jan 19, 2019",3652.38,3758.53,3652.38,3728.57,5955691380.0,65214103659.0
1033,"Jan 18, 2019",3677.99,3682.52,3637.08,3657.84,5002961727.0,63970991867.0
1034,"Jan 17, 2019",3651.87,3680.14,3621.96,3678.56,5464420383.0,64327048255.0
1035,"Jan 16, 2019",3631.51,3685.78,3624.67,3655.01,5394457145.0,63909348776.0
1036,"Jan 15, 2019",3704.22,3720.15,3619.95,3630.68,5537192302.0,63477817959.0
1037,"Jan 14, 2019",3557.31,3727.84,3552.29,3706.05,5651384490.0,64789619995.0
1038,"Jan 13, 2019",3658.87,3674.76,3544.93,3552.95,4681302466.0,62106461671.0
1039,"Jan 12, 2019",3686.97,3698.98,3653.81,3661.3,4778170883.0,63994140882.0
1040,"Jan 11, 2019",3674.02,3713.88,3653.07,3687.37,5538712865.0,64443301117.0
1041,"Jan 10, 2019",4034.41,4064.07,3659.17,3678.92,6874143796.0,64288932886.0
1042,"Jan 09, 2019",4031.55,4068.4,4022.66,4035.3,5115905225.0,70508733459.0
1043,"Jan 08, 2019",4028.47,4109.02,3996.96,4030.85,5306593305.0,70422743854.0
1044,"Jan 07, 2019",4078.59,4092.61,4020.89,4025.25,5228625637.0,70316305580.0
1045,"Jan 06, 2019",3836.52,4093.3,3826.51,4076.63,5597027440.0,71206795853.0
1046,"Jan 05, 2019",3851.97,3904.9,3836.9,3845.19,5137609824.0,67157570935.0
1047,"Jan 04, 2019",3832.04,3865.93,3783.85,3857.72,4847965467.0,67368333500.0
1048,"Jan 03, 2019",3931.05,3935.69,3826.22,3836.74,4530215219.0,66994920903.0
1049,"Jan 02, 2019",3849.22,3947.98,3817.41,3943.41,5244856836.0,68849856732.0
1050,"Jan 01, 2019",3746.71,3850.91,3707.23,3843.52,4324200990.0,67098634181.0
1051,"Dec 31, 2018",3866.84,3868.74,3725.87,3742.7,4661840806.0,65331499158.0
1052,"Dec 30, 2018",3822.38,3901.91,3797.22,3865.95,4770578575.0,67475512827.0
1053,"Dec 29, 2018",3932.49,3963.76,3820.41,3820.41,4991655917.0,66672244158.0
1054,"Dec 28, 2018",3653.13,3956.14,3642.63,3923.92,5631554348.0,68471837969.0
1055,"Dec 27, 2018",3854.69,3874.42,3645.45,3654.83,5130222366.0,63768757101.0
1056,"Dec 26, 2018",3819.67,3893.36,3769.86,3857.3,5326547918.0,67292819465.0
1057,"Dec 25, 2018",4081.03,4089.56,3760.02,3815.49,6158207293.0,66556033172.0
1058,"Dec 24, 2018",4000.33,4271.79,4000.33,4078.6,7240968501.0,71137548589.0
1059,"Dec 23, 2018",4020.99,4085.72,3976.41,3998.98,6151275490.0,69741217417.0
1060,"Dec 22, 2018",3898.08,4014.18,3855.74,4014.18,5605823233.0,69997508295.0
1061,"Dec 21, 2018",4133.7,4198.43,3850.95,3896.54,7206015706.0,67937650255.0
1062,"Dec 20, 2018",3742.2,4191.23,3728.97,4134.44,8927129279.0,72078243771.0
1063,"Dec 19, 2018",3706.82,3949.32,3687.23,3745.95,6810689119.0,65299132785.0
1064,"Dec 18, 2018",3544.76,3701.35,3487.17,3696.06,5911325473.0,64422587801.0
1065,"Dec 17, 2018",3253.12,3597.92,3253.12,3545.86,5409247918.0,61798926687.0
1066,"Dec 16, 2018",3236.27,3305.75,3233.82,3252.84,3744248994.0,56685436644.0
1067,"Dec 15, 2018",3244.0,3275.38,3191.3,3236.76,3551763561.0,56400691425.0
1068,"Dec 14, 2018",3311.75,3329.56,3206.54,3242.48,4372763663.0,56494379457.0
1069,"Dec 13, 2018",3487.88,3489.74,3298.13,3313.68,4343372456.0,57728688216.0
1070,"Dec 12, 2018",3421.46,3534.23,3413.48,3486.95,4139364829.0,60741625426.0
1071,"Dec 11, 2018",3497.55,3513.18,3392.25,3424.59,4696765188.0,59650201102.0
1072,"Dec 10, 2018",3612.05,3647.33,3470.14,3502.66,5020968740.0,61004445982.0
1073,"Dec 09, 2018",3473.23,3685.31,3469.09,3614.23,4947372847.0,62942160928.0
1074,"Dec 08, 2018",3421.91,3506.04,3350.65,3476.11,5305024497.0,60531278392.0
1075,"Dec 07, 2018",3512.59,3512.59,3280.23,3419.94,6835615448.0,59547645578.0
1076,"Dec 06, 2018",3754.07,3874.97,3521.1,3521.1,5878333109.0,61303965508.0
1077,"Dec 05, 2018",3958.89,3969.54,3753.99,3753.99,5302481574.0,65352496336.0
1078,"Dec 04, 2018",3886.29,4075.63,3832.75,3956.89,5028069239.0,68878292608.0
